"","Date","^GSPC","GOOG","BIDU","CHKP","ADP","SOHU","NATI","SA","EEQ","OII","TOT","OMN","KOP","LCI","VIVO","HALO","WST","WCG","ABT","PNC","MA","DB","IX","BAF","VLT","F","NKE","NAV","MAT","WWW","KS"
"48","2013-12-01",1848.359985,556.734009,177.880005,64.5,63.61655,72.93,28.902882,7.3,22.493053,72.118088,47.960686,9.11,44.471004,33.099998,22.358778,14.99,47.520752,70.419998,34.831852,70.517479,79.993759,43.381901,82.262901,10.05565,11.34829,12.867841,36.302628,38.189999,39.19743,32.507198,26.117727
"49","2014-01-01",1782.589966,586.669312,156.5,65.43,60.732662,72.779999,26.17688,8.03,22.147972,62.307919,45.37706,9.04,38.395725,35.32,19.198374,15.66,45.961266,65.110001,33.314266,72.60807,72.462204,43.327946,70.685165,10.597785,11.512781,12.475882,33.84119,30.82,31.17341,26.754507,26.15513
"50","2014-02-01",1859.449951,603.897217,170.929993,67.419998,61.668236,84.989998,26.149797,8.68,21.3864,65.443878,51.512535,9.53,38.434608,42.889999,17.732067,14.09,44.236652,61.82,36.351624,74.752678,75.419014,43.471828,68.183105,10.771596,11.920835,12.937357,36.372898,37.5,30.736788,25.277742,29.727268
"51","2014-03-01",1872.339966,555.445007,152.270004,67.629997,61.255939,65.089996,26.036184,7.08,22.153912,65.905914,52.068134,10.38,40.346195,35.720001,18.522612,12.71,42.751743,63.52,35.191071,79.524109,72.488411,40.315311,65.062477,10.905691,11.906182,13.113888,34.521671,33.869999,33.389687,27.377817,26.968679
"52","2014-04-01",1883.949951,523.779968,153.850006,64.059998,62.247818,55.169998,24.783836,7.99,23.489063,67.20826,57.25053,9.12,41.784683,34.529999,16.975521,7.45,42.101498,67.470001,35.401249,76.818466,71.372452,39.595879,68.128578,11.200929,12.225074,13.576238,34.096336,37.93,32.648796,27.003834,24.668303
"53","2014-05-01",1923.569946,556.828247,165.809998,64.480003,63.621155,57.759998,25.990814,7,24.278114,66.080177,55.812054,9.46,35.56102,41.779999,17.349541,7.9,40.943073,77.449997,36.778957,78.400528,74.29982,36.448353,75.133949,11.44969,12.363829,13.928025,35.947227,34.27,32.324146,24.860825,27.165058
"54","2014-06-01",1960.22998,572.134094,186.809998,67.029999,63.301777,57.689999,29.554796,9.38,28.689358,71.923416,58.714993,9.09,37.680271,49.619999,17.722546,9.88,41.030628,74.660004,37.597095,81.876022,71.403641,34.031242,77.979286,11.400854,12.599442,14.605786,36.47591,37.48,32.763821,25.043413,30.980326
"55","2014-07-01",1930.670044,568.474243,216.050003,67.870003,65.37278,56.720001,29.05294,9.37,27.598755,62.515289,52.453148,8.07,35.493336,33.610001,16.924004,9.74,39.639587,62.380001,38.718567,75.908852,72.064522,33.044544,76.467407,11.189651,12.126544,14.419402,36.278362,35.169998,29.779173,23.367226,27.810286
"56","2014-08-01",2003.369995,568.474243,214.520004,71.019997,67.117439,59.060001,30.248272,11.59,29.619722,64.03421,53.640457,8.39,36.557255,39.380001,16.971245,9.5,42.35157,65.860001,39.037125,78.352493,73.7836,33.189651,71.086601,11.538239,12.27259,14.8555,36.946266,37.709999,28.997286,25.582584,28.745398
"57","2014-09-01",1972.290039,574.202698,218.229996,69.239998,66.795853,50.23,28.354521,8.04,30.769119,60.226379,52.412487,5.37,32.895226,45.68,15.340892,9.1,43.648548,60.34,38.436409,79.11985,71.944107,33.721687,64.794922,11.562597,11.667085,12.619924,42.209671,32.91,26.05175,24.137783,26.15513
